"Keyword Version: 21.4","Revision: 2025-05-23 09:24:06","Timestamp: 2025-06-06 12:21:03","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=xml","Case native"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","BARBADOS","","b770fd0c-6169-42e8-ad30-7fde13c5c6c5"
"OCEAN","ARCTIC OCEAN","BARENTS SEA","","","","a4cb5149-19c8-45dc-976b-9cd590a7365a"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","BASS STRAIT","","","e70f8cd6-04d3-4ccb-9d50-cfc1603fc71a"
"OCEAN","INDIAN OCEAN","BAY OF BENGAL","","","","66dc90fd-304a-4379-a9e1-18cf184cc6da"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","BAY OF FUNDY","","","6e4b47ff-1d42-42d7-b5a0-a15cb27e39cc"
"OCEAN","ARCTIC OCEAN","BEAUFORT SEA","","","","86ed3782-8e30-4547-a774-35100b224d5a"
"CONTINENT","EUROPE","EASTERN EUROPE","BELARUS","","","e05da771-e0e8-4ce6-a599-078819c872b5"
"CONTINENT","EUROPE","WESTERN EUROPE","BELGIUM","","","132c1238-6779-443c-9a5c-3df2f238beae"
"CONTINENT","NORTH AMERICA","CENTRAL AMERICA","BELIZE","","","5f8636bb-0dc3-4528-a1eb-da5ac3b51fe2"
"OCEAN","SOUTHERN OCEAN","BELLINGSHAUSEN SEA","","","","17585ec9-4a92-4f37-96b4-034c9e7afa75"
"CONTINENT","AFRICA","WESTERN AFRICA","BENIN","","","05d03731-d997-49d9-bfa3-6221d9e5bdeb"
"OCEAN","PACIFIC OCEAN","NORTH PACIFIC OCEAN","BERING SEA","","","d85ae1ed-4b5f-440d-aaf0-7f9d605fec3b"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","BERMUDA","","","4811b042-546d-43de-88c4-fdfef09fab80"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","BHUTAN","","","55a04c46-92cf-49c6-8c84-8cd2c058f1e4"
"CONTINENT","EUROPE","EASTERN EUROPE","BLACK SEA","","","afbc0a01-742e-49da-939e-3eaa3cf431b0"
"CONTINENT","ASIA","WESTERN ASIA","BLACK SEA","","","b9c9d69b-9221-4aac-affb-5d3e98039251"
"CONTINENT","SOUTH AMERICA","BOLIVIA","","","","e6c50f42-9065-4ff8-a172-58d668fde547"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","BONAIRE","","bc7f49de-7e63-495c-af20-851938d4f6bc"
"CONTINENT","EUROPE","SOUTHERN EUROPE","BOSNIA AND HERZEGOVINA","","","7691ebb7-81c0-4f38-945c-4462a203cccb"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MASSACHUSETTS","BOSTON","","5ae6db89-e135-4e83-9317-c48ee0bc832c"
"CONTINENT","AFRICA","SOUTHERN AFRICA","BOTSWANA","","","444367b0-aa47-4d8b-94d7-41f7d69d2738"
"VERTICAL LOCATION","BOUNDARY LAYER","","","","","928f6ffd-4b96-43c5-91e9-9c655258ad44"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","BOUVET ISLAND","","","1eaf9a26-59b9-49fc-8f9f-1a72891edfe1"
"SPACE","EARTH MAGNETIC FIELD","BOW SHOCK","","","","cae6eb69-7ef9-451c-a77e-4c32a9665ee2"
"CONTINENT","SOUTH AMERICA","BRAZIL","","","","2a65dfd1-83e7-4886-a732-316b170522a1"
"CONTINENT","NORTH AMERICA","CANADA","BRITISH COLUMBIA","","","12b71c1c-bdb2-4cc6-bab9-0569563da458"
"OCEAN","INDIAN OCEAN","BRITISH INDIAN OCEAN TERRITORY","","","","4d9cb925-670c-43e6-af0f-40372df8b206"
"CONTINENT","EUROPE","NORTHERN EUROPE","BRITISH ISLES","","","c9e8dfcd-18ac-405d-b6a0-934ae3c743d3"
"OCEAN","INDIAN OCEAN","BRUNEI","","","","160b4977-218b-4d49-b1f1-0193f8ac2091"
"CONTINENT","EUROPE","EASTERN EUROPE","BULGARIA","","","a708af36-ff82-4403-80cd-6b4ffc661cc4"
"CONTINENT","AFRICA","WESTERN AFRICA","BURKINA FASO","","","aa499067-03c9-4684-be74-223b8b58304d"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","VERMONT","BURLINGTON","","92a4dbc0-eb29-4417-a986-ee747c481881"
"CONTINENT","AFRICA","EASTERN AFRICA","BURUNDI","","","e5965e59-3d33-4bab-9220-688c12154702"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","CALIFORNIA","","","fc4f2acd-ace7-452b-a540-4162f9e9ddb0"
"CONTINENT","ASIA","SOUTHEASTERN ASIA","CAMBODIA","","","2d955182-b62b-43eb-9acc-74f1f1f062f7"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","COLORADO","CAMERON PASS","","c1b7fce9-ff0c-404a-b3e8-30cfd69cdb8c"
"CONTINENT","AFRICA","CENTRAL AFRICA","CAMEROON","","","a028edce-a3d9-4a16-a8c7-d2cb12d3a318"
"CONTINENT","NORTH AMERICA","CANADA","","","","d0081284-5cef-484d-b1ee-a6787b197a33"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CANARY ISLANDS","","","69534766-c309-4145-8963-2bdb7b57340b"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","CAPE BASIN","","","5177650d-a0e7-4466-a568-66ac2bdb8827"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CAPE COD","","","48f4e536-a426-4735-b0c4-f80a1d0afa19"
"CONTINENT","ANTARCTICA","CAPE MOBIUS OF TERRA NOVA BAY","","","","789badd4-8d66-49dd-a4ff-98003f89864d"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CAPE VERDE","","","9aaf0f2f-6e85-4175-b4c2-a6dc31d8793a"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","CARIBBEAN","","ad18da3f-fbdb-4bc1-ab4d-008e9b8f6002"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","","","eb176e48-13e2-413c-85d6-b37e16303573"
"CONTINENT","ASIA","WESTERN ASIA","CASPIAN SEA","","","109670ea-5fc7-4726-b772-f315fa0fa603"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","CAYMAN ISLANDS","","5e154e2c-192d-4ef6-9279-84563cfcc5f5"
"CONTINENT","AFRICA","CENTRAL AFRICA","","","","f2ffbe58-8792-413b-805b-3e1c8de1c6ff"
"CONTINENT","AFRICA","CENTRAL AFRICA","CENTRAL AFRICAN REPUBLIC","","","065fc27f-5b54-4cfc-a616-8661a55e04b8"
"CONTINENT","NORTH AMERICA","CENTRAL AMERICA","","","","0980d595-3dbe-4247-82f2-40b5e8df603f"
"CONTINENT","EUROPE","CENTRAL EUROPE","","","","e56c5b41-7568-42db-ae22-ae9c1c9dc26a"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","MICRONESIA","CENTRAL PACIFIC KWAJ","","2dda5d3d-a8f2-4e29-b300-f7383f8ae02d"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","","","","54340be8-8bd7-40be-a9d0-2e212bddd5d9"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MEDITERRANEAN SEA","CEUTA","","a1c03e9b-1eae-4ea5-be30-3b2cd217216c"
"CONTINENT","AFRICA","CENTRAL AFRICA","CHAD","","","9b328d2c-07c9-4fd8-945d-f8d4d12e0bb3"
"CONTINENT","EUROPE","NORTHERN EUROPE","BRITISH ISLES","CHANNEL ISLANDS","","5ef2ae17-111c-4e9e-a6c9-95ce17a8b75c"
"CONTINENT","SOUTH AMERICA","CHILE","","","","da26d486-1ee6-4689-abe9-5a59b2d572b1"
"CONTINENT","ASIA","EASTERN ASIA","CHINA","","","523afb73-9b4c-4478-97e2-a7d5e228e31c"
"OCEAN","INDIAN OCEAN","CHRISTMAS ISLAND","","","","8e82af62-b3b1-4fc6-95b0-adb9433aa23f"
"SPACE","SOLAR REGION","CHROMOSPHERE","","","","af585cc5-aab9-49cc-b05d-afe4ca4de878"
"OCEAN","ARCTIC OCEAN","CHUKCHI SEA","","","","7e35ea67-a0c9-49fa-97de-e5f8f5b9ee6d"
"OCEAN","INDIAN OCEAN","COCOS ISLANDS","","","","5bc49524-33cd-48b8-9c23-d648e8ecbad5"
"CONTINENT","SOUTH AMERICA","COLOMBIA","","","","452b929e-ffdb-48c8-b3a2-bddd1ab2bf97"
