"Keyword Version: 21.4","Revision: 2025-05-23 09:24:06","Timestamp: 2025-06-06 12:21:03","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=xml","Case native"
"GEOGRAPHIC REGION","GLOBAL","","","","","51e3593f-4b42-4141-972e-96666c479f9c"
"GEOGRAPHIC REGION","GLOBAL LAND","","","","","61cc17c8-4f06-4556-8117-8ba9bb329a3f"
"GEOGRAPHIC REGION","GLOBAL OCEAN","","","","","3d4e44c4-5d99-4a9b-8388-43c63533ee97"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","GOUDIER ISLAND","","","f8a52f41-6584-457e-9162-7dde82c00d79"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","GOUGH ISLAND","","","3629338b-cfef-4119-ae3c-b9c800776275"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","GRAND BANKS","","","56c7983c-33fa-4abc-95d4-8ae848048abb"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","COLORADO","GRAND MESA","","ab8badd8-513a-493b-9bcc-c18ab62cfe5f"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","GREAT LAKES","","","271c9002-8a96-406e-a0ec-8fdbac41eb1e"
"CONTINENT","NORTH AMERICA","CANADA","GREAT LAKES, CANADA","","","2844fb17-9f62-47c9-90c4-d61125e0922e"
"CONTINENT","EUROPE","SOUTHERN EUROPE","GREECE","","","103ca372-ccaa-4cca-9e1a-ef2219ad6bb2"
"CONTINENT","NORTH AMERICA","GREENLAND","","","","9d15e288-95cd-476e-acdd-5e31add3ca32"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","GRENADA","","8d9e2612-e2ab-4895-9a26-c968522019f1"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","GUADELOUPE","","7ff548d5-896a-48c5-9ffb-28aa4d47825f"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","MICRONESIA","GUAM","","da0e4453-5f69-4656-a7f1-a68da6640dc8"
"CONTINENT","NORTH AMERICA","CENTRAL AMERICA","GUATEMALA","","","e325f579-2d4c-4c72-81f4-30cb8723261a"
"CONTINENT","EUROPE","NORTHERN EUROPE","GUERNSEY","","","1a16071e-e3bc-43ea-a668-522bbc045fdb"
"CONTINENT","AFRICA","WESTERN AFRICA","GUINEA","","","4334c04a-1ab1-475d-9aab-bc30476a8b25"
"CONTINENT","AFRICA","WESTERN AFRICA","GUINEA-BISSAU","","","b0d902f8-d1b3-4cc8-aa2c-58fd4fead65e"
"OCEAN","PACIFIC OCEAN","NORTH PACIFIC OCEAN","GULF OF ALASKA","","","9972bea3-3817-44e8-9c14-bcda7750d820"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","GULF OF AMERICA","","","75fab119-51a6-4b59-9711-f6c3cd3139db"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","GULF OF MAINE","","","9c31f745-a3d1-4007-99ae-fceca2019fab"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","GULF OF ST LAWRENCE","","","70c4057c-7ecc-4ff5-a6e6-5d5b0bb2af3b"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MEDITERRANEAN SEA","ADRIATIC SEA","GULF OF TRIESTE","7b93c892-2fc4-417b-a4da-5c8a2fca361b"
"CONTINENT","SOUTH AMERICA","GUYANA","","","","f58ab39c-6c61-47cf-9117-50aa4e8aa93a"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","HAITI","","63246421-f046-4770-acd9-d0a3d31bbd36"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","HAWAII","","","017ac312-b650-4800-992f-5167708b4d31"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","HAWAIIAN ISLANDS","HAWAII ISLAND","","91e466e3-2a02-4ce2-a62d-1b0bb2d13683"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","HAWAIIAN ISLANDS","","","2006ec69-34f2-4ece-8823-6dc49f892b02"
"OCEAN","SOUTHERN OCEAN","HEARD AND MCDONALD ISLANDS","","","","855fdce6-877e-433e-bae5-a6df132a4c8a"
"SPACE","EARTH MAGNETIC FIELD","HIGH LATITUDE MAGNETOSPHERE","","","","77a3d69b-2fe6-48a0-9d85-bae062a4e2ff"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","HIMALAYAS","","","f7026a7d-92db-4b7b-aa46-c839ff72e79a"
"CONTINENT","NORTH AMERICA","CENTRAL AMERICA","HONDURAS","","","91409bfb-7fe2-4eaa-97d9-4bc96d5a85b0"
"CONTINENT","ASIA","EASTERN ASIA","CHINA","HONG KONG","","d5182160-6764-4662-80fe-1ec252d36f20"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","HOWLAND ISLAND","","","626ee48e-c58c-4cbf-a15e-23bc0331857b"
"CONTINENT","NORTH AMERICA","CANADA","HUDSON BAY","","","f26c754c-1765-4a45-920e-792b43353a39"
"CONTINENT","EUROPE","EASTERN EUROPE","HUNGARY","","","250456aa-1202-411d-b88f-919386a4ebe5"
"CONTINENT","EUROPE","NORTHERN EUROPE","ICELAND","","","5e64ca14-42f3-4222-8f2c-5db3c7b71d8f"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","IDAHO","","","5e4b6864-4bf7-43a9-8ca6-2099cc40dd25"
"OCEAN","INDIAN OCEAN","CROZET ISLANDS","ILE DE LA POSSESSION, BASE ALFRED FAURE","","","336b41d3-5597-46ee-9d26-8d992399da93"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","ILLINOIS","","","06b1e163-667a-4d13-b638-5273e7a65dad"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","INDIA","","","446c1b9a-cee6-46e6-99be-3db5fbb798fb"
"OCEAN","INDIAN OCEAN","","","","","4b75a3a2-9811-43b9-8f8c-64d0ae4d9ca8"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","INDIANA","","","5061b32d-58dc-4a48-ba0a-5e8d3c686cc3"
"OCEAN","INDIAN OCEAN","INDONESIA","","","","84aeedd2-6093-4252-9895-8dc063a9ad97"
"SPACE","EARTH MAGNETIC FIELD","INNER MAGNETOSPHERE","","","","1d44a144-2344-4a82-931b-6604bbbe14bc"
"VERTICAL LOCATION","IONOSPHERE","","","","","a260baca-735f-4085-a0bc-212ac44aef3e"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","IOWA","","","ed048ffc-f15c-4b27-899e-70d00417685b"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","IRAN","","","7daf09eb-e8b7-4c69-b0d1-c53a429379cb"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","IRAQ","","b25e6700-8d6f-4c95-be85-dedc4f077b26"
"CONTINENT","EUROPE","NORTHERN EUROPE","BRITISH ISLES","IRELAND","","4bcfd0d2-b5c7-47cb-8ded-d544a84f0c47"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","IRISH SEA","","","452868d2-bcca-4cb5-8d5d-102b4f6019eb"
"CONTINENT","SOUTH AMERICA","CHILE","DIEGO RAMIREZ ISLANDS","ISLA BARTOLOME","","dcc856e9-c215-4799-b64d-d406e3da8541"
"CONTINENT","SOUTH AMERICA","CHILE","DIEGO RAMIREZ ISLANDS","ISLA GONZALEZ","","57d5b413-48b5-485a-ad7b-bd0201c64a60"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","IRISH SEA","ISLE OF MAN","","977f6d42-8d3a-4875-8a7b-ed225622519c"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","ISRAEL","","3898679c-68f8-42af-bbf1-1400955e0076"
"CONTINENT","EUROPE","SOUTHERN EUROPE","ITALY","","","ff1cfc9c-5e73-4137-b8e1-d6f4e83e61c4"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","JAMAICA","","9a539ebb-1b71-4e56-9581-e42c0a9c96ea"
"CONTINENT","ASIA","EASTERN ASIA","JAPAN","","","9ae108db-2d76-44a1-b381-eba2df9554ad"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","JARVIS ISLAND","","","b3b5dbff-09a4-45f1-b1c2-847e3c8e6153"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","NEW MEXICO","JEMEZ MOUNTAINS","","d162711e-4c48-4f27-8878-68dc80325f48"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","JOHNSTON ATOLL","","","7ba7460f-32d8-4364-9608-eec6387133e9"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","JORDAN","","232cab66-2a19-4d21-8ad2-8d60b1e87b07"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","HAWAIIAN ISLANDS","KAHOOLAWE","","43bdd952-dc95-45a0-bf60-05a4c958ff0c"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","KANSAS","","","42b510c8-3f17-4f95-85f5-011065fcc038"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","HAWAIIAN ISLANDS","KAUAI","","45fe9be8-818b-465e-ad75-b025ff447844"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","KAZAKHSTAN","","","95ef2448-80da-4419-8c07-f05f7d625796"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","KENTUCKY","","","7de86e45-f3e3-4475-af21-fc5a7f0c6349"
"CONTINENT","AFRICA","EASTERN AFRICA","KENYA","","","9a733984-abe2-4a34-b189-9bb62b9f9b85"
"OCEAN","INDIAN OCEAN","KERGUELEN ISLANDS","","","","0958cd41-f5bf-444e-9e91-c8d9307effe7"
"CONTINENT","ANTARCTICA","KING GEORGE ISLAND","","","","a100adaa-1e50-44bd-b53f-94a986f5b495"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","KINGMAN REEF","","","4ad44654-2b00-4544-a149-1f01056e57c0"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","KIRIBATI","","","00fdc4bb-8f93-4170-bca1-e51315b46304"
"CONTINENT","EUROPE","SOUTHERN EUROPE","KOSOVO","","","632e6bd5-cdd5-42fa-801f-66b553155905"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","KUWAIT","","5db07c1e-355b-40d9-94b2-7fabe4119af3"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","KYRGYZSTAN","","","dca66e52-9406-4824-8639-602e12dc7d62"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","WISCONSIN","LA CROSSE","","b9f52e70-8d85-45b6-b166-79201ce7d2bc"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","LABRADOR SEA","","","0006e246-4296-448c-9b81-a0831cad7f1c"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","NORTH SEA","LAESO","","d68d3910-3eeb-4c18-b95c-561a30f38550"
"CONTINENT","EUROPE","EASTERN EUROPE","RUSSIAN FEDERATION","LAKE BAYKAL","","b8631319-b4ee-4676-beaf-2aa179504be6"
"CONTINENT","AFRICA","CENTRAL AFRICA","LAKE CHAD","","","a1810ec4-2d03-4d98-b049-2cad380fb789"
"CONTINENT","AFRICA","EASTERN AFRICA","LAKE MALAWI","","","9bc94214-449d-4b97-b268-ef4b8dcadd23"
"CONTINENT","AFRICA","EASTERN AFRICA","LAKE TANGANYIKA","","","fbf0a017-08a4-4bc8-a0f8-c178550a3ccb"
"CONTINENT","AFRICA","EASTERN AFRICA","LAKE VICTORIA","","","6c7b31f5-8e07-4a2c-b94f-69be416c60a3"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","HAWAIIAN ISLANDS","LANAI","","456dc4c6-5750-449c-b2cf-61969bcf728c"
"VERTICAL LOCATION","LAND SURFACE","","","","","90761f8d-6abe-499c-b711-acec394daa59"
"CONTINENT","ASIA","SOUTHEASTERN ASIA","LAO PEOPLE'S DEMOCRATIC REPUBLIC","","","0f023a42-94f0-4c8c-b2c9-792eaa6aa784"
"CONTINENT","EUROPE","NORTHERN EUROPE","LATVIA","","","e2e7fb18-459b-4d43-8065-ce5ca7e5bdb9"
"CONTINENT","ANTARCTICA","LAUFF ISLAND","","","","9464e2fc-1198-43b7-af7c-8b1ea53b2b0a"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","LEBANON","","1dbb3f84-a25b-4738-bbee-f5371f471aec"
"CONTINENT","AFRICA","SOUTHERN AFRICA","LESOTHO","","","96c2b110-5d8b-425b-a5e5-7066e6c7b52e"
"CONTINENT","AFRICA","WESTERN AFRICA","LIBERIA","","","c7db33e9-b333-4aee-bcf8-8003fba420b0"
"CONTINENT","AFRICA","NORTHERN AFRICA","LIBYA","","","1e535be2-e7cf-42fc-aec4-6f8a6ca3727d"
"CONTINENT","EUROPE","WESTERN EUROPE","LIECHTENSTEIN","","","df8d8422-8497-44c4-a147-1e4d0bdb4ad0"
"CONTINENT","EUROPE","NORTHERN EUROPE","LITHUANIA","","","b58616f8-024f-45f1-be4f-8924557a82bc"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","LONG ISLAND SOUND","","","f6ed7b70-c420-46e0-97db-2aecd9748788"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","LOUISIANA","","","73c5d3e9-29f6-4352-a3db-1bc49bbff315"
"CONTINENT","EUROPE","WESTERN EUROPE","LUXEMBOURG","","","018ef16b-76e2-4d3d-a981-76bd7ea02e5f"
"CONTINENT","ASIA","EASTERN ASIA","CHINA","MACAU","","e1078fd4-fa6b-4c35-81ee-648bc086e9c5"
"OCEAN","SOUTHERN OCEAN","MACQUARIE ISLAND","","","","76b3388a-990c-4a46-b35a-748552b671d7"
"OCEAN","INDIAN OCEAN","MADAGASCAR","","","","d9f82c3c-0edf-445e-b838-eebc2278d4c1"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MADEIRA","","","283ecddd-37db-471c-a600-a45b4419918e"
"SPACE","EARTH MAGNETIC FIELD","MAGNETOPAUSE","","","","971933a3-b116-4fdc-91c6-3067eaeedc8c"
"SPACE","EARTH MAGNETIC FIELD","MAGNETOSPHERE (OTHER)","","","","748c0239-be0b-42ef-8d82-587c09afdb1d"
"SPACE","EARTH MAGNETIC FIELD","MAGNETOTAIL","","","","8cb93d1a-8405-4722-92dd-434ebc850088"
"CONTINENT","ANTARCTICA","MAHER ISLAND","","","","aa9be105-fc42-42db-94fd-79590dd84f67"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MAINE","","","fcc2ca75-790a-4e69-80b6-7af8be328a71"
"CONTINENT","AFRICA","EASTERN AFRICA","MALAWI","","","bc151f49-5347-401a-a0b6-476656a2df23"
"OCEAN","INDIAN OCEAN","MALAYSIA","","","","5f9a0900-8379-456b-bd5e-d6235a022bfa"
"OCEAN","INDIAN OCEAN","MALDIVES","","","","eabe42d5-1826-4d7c-9988-4a6397873061"
"CONTINENT","AFRICA","WESTERN AFRICA","MALI","","","e0d8e561-956e-4450-9948-0568357c6abf"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MEDITERRANEAN SEA","MALTA","","6d54689d-b634-4d5e-b2f9-752c3648bdcf"
"CONTINENT","NORTH AMERICA","CANADA","MANITOBA","","","72e9e5dc-0f52-43df-8670-d5908806759e"
"SOLID EARTH","MANTLE","","","","","2da8b88a-1a2e-4635-9ba9-dd5f9c5aad99"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MEDITERRANEAN SEA","MARMARA SEA","","c6679f10-7580-469c-99e8-d6f1e54b5245"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","MICRONESIA","MARSHALL ISLANDS","","589b1245-f1f8-4a63-882f-0e2e72625df0"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","MARTINIQUE","","fe4326f9-1089-4ede-ae32-5d7bc7d2349b"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MARYLAND","","","417c01a8-79c5-40e6-affc-8a462b0b4336"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MASSACHUSETTS","","","f9837873-62cd-402c-af8b-571876942a83"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","HAWAIIAN ISLANDS","MAUI","","74ab7a7c-6ec5-4dd2-a1d4-0274dced3e3d"
"CONTINENT","AFRICA","WESTERN AFRICA","MAURITANIA","","","2d39101d-4602-4688-91f0-84f1a37a1441"
"OCEAN","INDIAN OCEAN","MAURITIUS","","","","5477242e-79ee-4139-bb1f-ab3ace1eb864"
"OCEAN","INDIAN OCEAN","MAYOTTE","","","","ea8a08f7-9b41-4541-8078-e9c9dd41d7f3"
"CONTINENT","ANTARCTICA","MCMURDO SOUND","","","","8e6ed09f-fc31-40ad-acbb-e2c0a05a642e"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","MEDITERRANEAN SEA","","","c322d007-8d19-451b-ba46-daa216782248"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","MELANESIA","","","33ceb9b7-d144-4e19-92b5-27861898bfd4"
"CONTINENT","ANTARCTICA","MERTZ GLACIER","","","","3c374d0e-fb82-4e14-9119-2f958747dca4"
"VERTICAL LOCATION","MESOSPHERE","","","","","8eb2ab2b-f923-47ca-9a13-f966cf11d802"
"CONTINENT","NORTH AMERICA","MEXICO","","","","70d89073-6697-4eb6-b01b-989c623a5649"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MICHIGAN","","","5561d10d-5224-4e09-9d68-caffd6bc3d74"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","MICRONESIA","","","12f8b383-3220-464f-baf3-2ec810247e44"
"GEOGRAPHIC REGION","MID-LATITUDE","","","","","46769685-522d-49c3-ad81-22e1cc8c0c2b"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","","","8596fd82-b9bc-4b90-bf9b-23c7f59ac4ab"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","MIDWAY ATOLL","","","075b5332-e4cc-4367-ab95-5b327b4712b4"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MINNESOTA","","","2e2d65b6-d3de-4921-877c-2d3a4e447978"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MISSISSIPPI","","","c3954181-53c1-4847-84dd-cf62815b985f"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MISSOURI","","","c42c3695-f569-40f4-8330-9b6fde553abf"
"CONTINENT","EUROPE","EASTERN EUROPE","MOLDOVA","","","59c12b6b-c5b4-4e23-9281-731e3473cca3"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","HAWAIIAN ISLANDS","MOLOKAI","","5eaf4989-04fa-4b01-8239-f325951832df"
"CONTINENT","EUROPE","WESTERN EUROPE","MONACO","","","8611d45f-c410-44ac-a2ea-d369b7c10011"
"CONTINENT","ASIA","EASTERN ASIA","MONGOLIA","","","af7106d6-4f42-4797-a547-b9e2f4384c7f"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","MONTANA","","","88030de5-d237-4074-943f-b6422790d58d"
"CONTINENT","EUROPE","SOUTHERN EUROPE","MONTENEGRO","","","d8f2db47-29ae-4999-aeca-360e4f98f256"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","MONTSERRAT","","46cfe46b-7a99-413b-b763-dd8c8f579e1a"
"CONTINENT","AFRICA","NORTHERN AFRICA","MOROCCO","","","cb410cb0-d8f3-42e2-9500-5576b802a7fa"
"CONTINENT","AFRICA","EASTERN AFRICA","MOZAMBIQUE","","","d322d155-b8f0-4173-b382-b762a070e4d9"
"CONTINENT","ANTARCTICA","TERRA NOVA BAY","MT MELBOURNE","","","87c840a4-1ecf-48fe-90cd-0b93d4b02c89"
"CONTINENT","ANTARCTICA","TERRA NOVA BAY","MT RITTMAN","","","ad47931f-dec9-488b-b4a4-51696f9aa088"
"CONTINENT","ASIA","SOUTHEASTERN ASIA","MYANMAR","","","71953a36-817f-4b70-83df-f056364ce65d"
"CONTINENT","AFRICA","SOUTHERN AFRICA","NAMIBIA","","","a827feaf-9926-4a4d-b21f-dc044524b2b5"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","MICRONESIA","NAURU","","b76e19a0-73aa-484a-9723-c7940191ec61"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","NAVASSA ISLAND","","21be5553-67cb-4e54-9807-f1b558d72ae4"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","NEBRASKA","","","48c90518-9246-452b-8874-d50975e87ef6"
"CONTINENT","ASIA","SOUTHCENTRAL ASIA","NEPAL","","","5a3c4d08-5924-4ea7-a59b-06cc653deba7"
"CONTINENT","EUROPE","WESTERN EUROPE","NETHERLANDS","","","c4ff980e-6edd-400f-9c99-951fa0d0c887"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","CARIBBEAN SEA","NETHERLANDS ANTILLES","","514053f8-27a3-4fcb-8ce8-0d63cb345740"
"SPACE","EARTH MAGNETIC FIELD","NEUTRAL SHEET","","","","848254ad-c92c-44fd-8c01-a4755fef4673"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","NEVADA","","","2bdea9ad-43c4-4559-a156-6dad5d9ba137"
"CONTINENT","NORTH AMERICA","CANADA","NEW BRUNSWICK","","","bab83514-4a6a-4ac5-a130-378ee49fdf18"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","MELANESIA","NEW CALEDONIA","","d1040157-9bcb-4013-b01c-66325a9ac227"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","NEW HAMPSHIRE","","","a2e161cb-6448-47b0-ab56-c15308152181"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","NEW JERSEY","","","bbbb53c6-a8e8-4db6-8849-07316a5ff6c8"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","NEW MEXICO","","","b8bdae16-f063-42a5-8d47-2ee863fa56e9"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","NEW YORK","","","854d0bb3-dcc3-48eb-a65a-2d26a8b87394"
"CONTINENT","AUSTRALIA/NEW ZEALAND","NEW ZEALAND","","","","d225920a-b027-4931-83d4-b60918251b59"
"CONTINENT","NORTH AMERICA","CANADA","NEWFOUNDLAND AND LABRADOR","","","009ebc80-5561-40d1-98d9-13cbc5bd1591"
"CONTINENT","NORTH AMERICA","CENTRAL AMERICA","NICARAGUA","","","2274358d-11e5-442f-af41-e20fe1ba69c6"
"OCEAN","INDIAN OCEAN","NICOBAR ISLANDS","","","","a09d128e-c786-48cc-b569-c1a6bbb1f772"
"CONTINENT","AFRICA","WESTERN AFRICA","NIGER","","","7b1a37fd-aae9-4bcf-86b1-48e7db570f65"
"CONTINENT","AFRICA","WESTERN AFRICA","NIGERIA","","","2a5c24de-0eb1-4049-a58b-7cc716ecd34c"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","HAWAIIAN ISLANDS","NIIHAU","","6d9ffb4c-1dc6-4e69-98ce-2b87f00d6d98"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","NIUE","","79f4dd2f-07c5-4932-b507-f1db66b6240e"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","NORFOLK ISLAND","","3fef61fe-15e9-4cd7-a43c-18d28c26706e"
"CONTINENT","NORTH AMERICA","","","","","88bc8b39-ad19-4415-b426-e7d37450341a"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","","","","a4202721-0cba-4fa1-853f-890f146b04f9"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","NORTH CAROLINA","","","a6eb6bdd-8aec-475f-a660-b8603219a5b0"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","NORTH DAKOTA","","","25ff6e15-1d40-4df6-b008-eb11c3a199d9"
"CONTINENT","ASIA","EASTERN ASIA","NORTH KOREA","","","ea7ae83d-94f5-4d2b-9b1a-6c8ac2b82c78"
"CONTINENT","EUROPE","SOUTHERN EUROPE","NORTH MACEDONIA","","","03280af1-94e4-4918-8a19-70b8445f9d6f"
"OCEAN","PACIFIC OCEAN","NORTH PACIFIC OCEAN","","","","5488b1cc-08b2-41cf-9bd2-4a2cdd0990de"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","NORTH SEA","","","4401ec0e-0d64-41d3-b4bd-2ff797865e83"
"OCEAN","SOUTHERN OCEAN","WEDDELL SEA","NORTHEAST WEDDELL SEA","","","360d0f6d-35f8-477d-9999-17ed80fd1899"
"CONTINENT","AFRICA","NORTHERN AFRICA","","","","f8ea9f90-eb85-42b0-8d30-93e2bdca16ef"
"CONTINENT","EUROPE","NORTHERN EUROPE","","","","1b0b4340-30a6-4cdd-b356-9c6a0b674a29"
"GEOGRAPHIC REGION","NORTHERN HEMISPHERE","","","","","507794a1-9563-49a4-b2d3-8a28347c1fd7"
"OCEAN","PACIFIC OCEAN","WESTERN PACIFIC OCEAN","MICRONESIA","NORTHERN MARIANA ISLANDS","","39fefc6a-a548-4a7f-96a8-434dae6d56ed"
"OCEAN","PACIFIC OCEAN","NORTHWEST PACIFIC OCEAN","","","","7d10a16f-ca01-4ea5-b842-24c889210ab5"
"CONTINENT","NORTH AMERICA","CANADA","NORTHWEST TERRITORIES","","","95bed3b9-3c0f-4333-b9ac-2f2f5fede59e"
"CONTINENT","EUROPE","NORTHERN EUROPE","SCANDINAVIA","NORWAY","","4bbd9eec-9daa-45c5-9cc7-1d8fb8bffd79"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","NORWEGIAN SEA","","","91dd3935-a1ae-48ca-b263-9b10ac732372"
"CONTINENT","NORTH AMERICA","CANADA","NOVA SCOTIA","","","9dc6c179-4631-4804-99be-bdbbff83c679"
"CONTINENT","NORTH AMERICA","CANADA","NUNAVUT","","","4185beef-8d24-4205-9fe7-2d1345671680"
"OCEAN","PACIFIC OCEAN","CENTRAL PACIFIC OCEAN","HAWAIIAN ISLANDS","OAHU","","e554d02d-0532-4bcb-a8b8-ce869c25cd15"
"OCEAN","","","","","","ff03e9fc-9882-4a5e-ad0b-830d8f1186cb"
"GEOGRAPHIC REGION","OCEANIA","","","","","e3205e96-9379-4b6c-86e0-c012090549f7"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","OHIO","","","c23966c4-9e16-484c-a1ef-efcd2354d71c"
"OCEAN","PACIFIC OCEAN","NORTH PACIFIC OCEAN","OKINAWA","","","cf414436-730e-407c-9175-fa97c4f6429d"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","OKLAHOMA","","","31ea4578-9b23-4f66-b454-b7dae358267c"
"CONTINENT","ASIA","WESTERN ASIA","MIDDLE EAST","OMAN","","925747d0-b5f0-4c51-9216-04980a785b54"
