"Hits: 184","page_num: 1","page_size: 2000","Keyword Version: 21.0","Revision: 2025-03-14 10:18:11","Timestamp: 2025-04-16 11:29:51","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/chronounits/?format=xml","Case native"
Eon,Era,Period,Epoch,Age,Sub-Age,UUID
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","MISSISSIPPIAN","EARLY","","c0489a3d-7571-44f8-ae10-bc56da60a29e"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","EARLY","","","db06b2a9-4ed5-4222-8533-fbf3ed3bdc23"
"PROTEROZOIC","MESOPROTEROZOIC","ECTASIAN","","","","ee9ef5b8-884f-4f1d-97bb-463e2f06ac6e"
"PROTEROZOIC","NEOPROTEROZOIC","EDIACARAN","","","","8081c24d-2a51-4f26-825c-8406b5bbf1f0"
"PHANEROZOIC","PALEOZOIC","DEVONIAN","MIDDLE","EIFELIAN","","d002ab48-1cd0-42e3-9fc1-608db632e75c"
"PHANEROZOIC","PALEOZOIC","DEVONIAN","EARLY","EMSIAN","","6d53c67e-1019-4c4f-9ed5-b0fadab11f55"
"ARCHAEAN","EOARCHEAN","","","","","8dff752e-939d-4b16-a735-bb4af8dbd785"
"PHANEROZOIC","CENOZOIC","PALEOGENE","EOCENE","","","afd62c36-fd25-4673-a56d-85be8d47f3d0"
"PHANEROZOIC","PALEOZOIC","DEVONIAN","LATE","FAMENNIAN","","2cdd9d46-afee-4566-9469-d043dc6d8acd"
"PHANEROZOIC","PALEOZOIC","ORDOVICIAN","EARLY","FLOIAN","","a58844b9-65e5-4b5a-98ab-b99968769d4a"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","TERRENEUVIAN","FORTUNIAN","","c0fcada2-4e5b-4349-9611-5879f541d4e4"
"PHANEROZOIC","PALEOZOIC","DEVONIAN","LATE","FRASNIAN","","55c20bf0-31dd-4a82-a9a4-928f1a84f219"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","FURONGIAN","","","d5a694f5-630e-4164-8789-aaa164a5e34a"
"PHANEROZOIC","CENOZOIC","QUATERNARY","PLEISTOCENE","GELASIAN","","ea3e9d14-1969-4add-83f3-a4c486b922e9"
"PHANEROZOIC","PALEOZOIC","DEVONIAN","MIDDLE","GIVETIAN","","f6913b28-5a77-4042-97ef-fcbf743c2982"
"PHANEROZOIC","PALEOZOIC","SILURIAN","LUDLOW","GORSTIAN","","a5bf9cd1-657c-4669-8794-2ca79d769677"
"PHANEROZOIC","CENOZOIC","QUATERNARY","HOLOCENE","GREENLANDIAN","","007cc0a7-cccf-47c9-a55d-af36592055b3"
"PHANEROZOIC","PALEOZOIC","PERMIAN","GUADALUPIAN","","","c78b1ba6-5187-474e-a7ad-fd46cd6d93ae"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","MIAOLINGIAN","GUZHANGIAN","","5172e1c2-f89f-4155-aca3-ff51eba0a976"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","PENNSYLVANIAN","LATE","GZHELIAN","47a51602-f1de-4188-ab8d-9aedd88a1936"
"HADEAN","","","","","","c7626c29-a1d3-4d0c-a263-616fe060f164"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","EARLY","HAUTERIVIAN","","f270c702-4bc6-45bd-82ee-b8637073c96f"
"PHANEROZOIC","MESOZOIC","JURASSIC","EARLY","HETTANGIAN","","fb29222e-8aaf-4b46-8672-8525a58e2b8d"
"PHANEROZOIC","PALEOZOIC","ORDOVICIAN","LATE","HIRNANTIAN","","00b13a7e-4d16-4d89-bc47-2839331545e6"
"PHANEROZOIC","CENOZOIC","QUATERNARY","HOLOCENE","","","e000088a-8252-4603-ba55-38189c45612c"
"PHANEROZOIC","PALEOZOIC","SILURIAN","WENLOCK","HOMERIAN","","a67468bf-980b-4053-a26c-64fc5d9aa611"
"PHANEROZOIC","MESOZOIC","TRIASSIC","EARLY","INDUAN","","b7e63199-3f21-4dd3-900c-e9bfc68c158a"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","FURONGIAN","JIANGSHANIAN","","1349b331-a168-48fc-a548-5c0c962271cf"
"PHANEROZOIC","MESOZOIC","JURASSIC","","","","2fc65458-428c-4d02-ae15-f4b0a1c1dc39"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","PENNSYLVANIAN","LATE","KASIMOVIAN","b8d669b7-ed07-4bcc-8698-cbab463fefc8"
"PHANEROZOIC","PALEOZOIC","ORDOVICIAN","LATE","KATIAN","","cda85cc0-7711-471d-ab14-c034ce53f24b"
"PHANEROZOIC","MESOZOIC","JURASSIC","LATE","KIMMERIDGIAN","","19b97ca1-f6ae-4a27-be69-c67cd2bbd985"
"PHANEROZOIC","PALEOZOIC","PERMIAN","CISURALIAN","KUNGURIAN","","2ef634c0-2e47-419e-873e-4649974f7e64"
"PHANEROZOIC","MESOZOIC","TRIASSIC","MIDDLE","LADINIAN","","4eb7b9e2-0478-478d-8674-1798e5fb1b2b"
"PHANEROZOIC","CENOZOIC","NEOGENE","MIOCENE","LANGHIAN","","4faea12f-7425-42c4-abcc-e9253d312e57"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","MISSISSIPPIAN","LATE","","03796134-4406-43d2-88e9-8334843e9153"
"PHANEROZOIC","MESOZOIC","TRIASSIC","LATE","","","35aa6f1d-da5b-473d-b95c-24ba82cc0780"
"PHANEROZOIC","PALEOZOIC","ORDOVICIAN","LATE","","","479caf3a-2744-4cef-b992-745c1ffd3e96"
"PHANEROZOIC","MESOZOIC","JURASSIC","LATE","","","47a5e636-ac8a-4c32-a356-d8c6a7172a8f"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","PENNSYLVANIAN","LATE","","5fab652d-b69a-4005-b6cf-6d9d4a533703"
"PHANEROZOIC","CENOZOIC","QUATERNARY","PLEISTOCENE","LATE","","9f54bcf3-64dc-480b-ba75-3298c2299f35"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","LATE","","","d3928482-e056-4d2d-ae5a-1e7097099c2b"
"PHANEROZOIC","PALEOZOIC","DEVONIAN","LATE","","","d6b9b49c-667e-4da7-bd72-32b4b5d89c0e"
"PHANEROZOIC","PALEOZOIC","SILURIAN","LLANDOVERY","","","ec205df2-0e6a-4ffe-a7f6-8f20592345f7"
"PHANEROZOIC","PALEOZOIC","DEVONIAN","EARLY","LOCHKOVIAN","","8ec111c5-b689-4482-9bfe-a9884c44f7f3"
"PHANEROZOIC","PALEOZOIC","PERMIAN","LOPINGIAN","","","219be745-055a-4b37-883a-a0fece613e4f"
"PHANEROZOIC","PALEOZOIC","SILURIAN","LUDLOW","LUDFORDIAN","","da923214-120f-4ee4-8f62-9fde989e3c75"
"PHANEROZOIC","PALEOZOIC","SILURIAN","LUDLOW","","","15256b96-f71f-43d2-8c1b-ab5dca5dd3db"
"PHANEROZOIC","CENOZOIC","PALEOGENE","EOCENE","LUTETIAN","","1fbdcab5-811a-4221-899a-3a0610cdcb26"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","LATE","MAASTRICHTIAN","","8ce20eea-74f0-40cd-b611-4686427c5fa4"
"PHANEROZOIC","CENOZOIC","QUATERNARY","HOLOCENE","MEGHALAYAN","","078b8751-408f-4410-9925-0840a52e0b5c"
"ARCHAEAN","MESOARCHEAN","","","","","27660bb3-982e-414c-991a-707abd861f46"
"PROTEROZOIC","MESOPROTEROZOIC","","","","","17813394-7d77-4d08-857a-d3b045d49600"
"PHANEROZOIC","MESOZOIC","","","","","a0bd8bda-adb6-4ea2-ae02-5caef1557ad6"
"PHANEROZOIC","CENOZOIC","NEOGENE","MIOCENE","MESSINIAN","","630bb839-bbf4-4183-92a2-d0aa25de6dcb"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","MIAOLINGIAN","","","ea5250b7-79a4-4f27-a5c5-9ebd41ab627b"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","MISSISSIPPIAN","MIDDLE","","0f8853f9-6fc0-4a72-9e61-8b8a5e1fdae7"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","PENNSYLVANIAN","MIDDLE","","26d10402-338b-433e-a90e-5952e3ae044d"
"PHANEROZOIC","MESOZOIC","JURASSIC","MIDDLE","","","2df3bf58-8e9d-4c08-8370-3678b7bc94f6"
"PHANEROZOIC","PALEOZOIC","DEVONIAN","MIDDLE","","","62e5494d-c515-47dc-a4af-f870874add3d"
"PHANEROZOIC","CENOZOIC","QUATERNARY","PLEISTOCENE","MIDDLE","","750b7e7e-8dd6-41ec-8e09-c3026baffd2b"
"PHANEROZOIC","PALEOZOIC","ORDOVICIAN","MIDDLE","","","e941d527-8935-4b63-b76f-5febd609b9b5"
"PHANEROZOIC","MESOZOIC","TRIASSIC","MIDDLE","","","ee019c00-2300-4675-9dea-8f993a744a67"
"PHANEROZOIC","CENOZOIC","NEOGENE","MIOCENE","","","32bf646d-d80c-49be-aee8-87ccdd4785af"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","MISSISSIPPIAN","","","a9aac8e7-10bc-4fe9-bf8e-c45db58b5eca"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","PENNSYLVANIAN","MIDDLE","MOSCOVIAN","c9924714-7cba-41ff-b2e8-f2395d00583a"
"ARCHAEAN","NEOARCHEAN","","","","","d2d0ac71-d27d-46cb-b95b-39a6f796c501"
"PHANEROZOIC","CENOZOIC","NEOGENE","","","","e5a3aed9-de46-4903-a999-f9f8bcdf1cd7"
"PROTEROZOIC","NEOPROTEROZOIC","","","","","d0ab2b43-d68f-4ab0-8e5a-fd55974c3f29"
"PHANEROZOIC","MESOZOIC","TRIASSIC","LATE","NORIAN","","11fdca69-e5fb-4b41-97e5-de678fd7eade"
"PHANEROZOIC","CENOZOIC","QUATERNARY","HOLOCENE","NORTHGRIPPIAN","","faa0de65-292f-4a5e-9dc7-1893ca82180c"
"NOT APPLICABLE","","","","","","0673738a-3751-4d6e-9df0-b2eda0bde993"
"NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","","13e26688-3e0e-49da-b7cb-0d25d51a9e59"
"NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","","","9b163dab-3afd-4084-b6c8-380f96a40f75"
"NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","","","","bf921c77-6ec0-494f-a9b8-54c01ca6560a"
"NOT APPLICABLE","NOT APPLICABLE","","","","","c3103f11-b82a-45fc-82b5-2ac7e353950d"
"PHANEROZOIC","MESOZOIC","TRIASSIC","EARLY","OLENEKIAN","","38c83387-bfa9-46d4-8f17-43fc46ac891e"
"PHANEROZOIC","CENOZOIC","PALEOGENE","OLIGOCENE","","","5e89981e-0ef5-4aec-b118-54fdf197eb05"
"PHANEROZOIC","PALEOZOIC","ORDOVICIAN","","","","02f8be65-6bdd-4f4d-9e69-adac5aec33f6"
"PROTEROZOIC","PALEOPROTEROZOIC","OROSIRIAN","","","","61627988-014a-4c16-a986-3d90009a4841"
"PHANEROZOIC","MESOZOIC","JURASSIC","LATE","OXFORDIAN","","97bead3b-1194-49ba-b39a-42f5462a36a4"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","FURONGIAN","PAIBIAN","","a00ebef2-3976-401b-a9fe-6bbcfe536737"
"ARCHAEAN","PALEOARCHEAN","","","","","2cd7912b-8cf2-41a1-99b9-8797dcd94fa7"
"PHANEROZOIC","CENOZOIC","PALEOGENE","PALEOCENE","","","cb277225-be9e-4c22-954e-fe7352e9faa6"
"PHANEROZOIC","CENOZOIC","PALEOGENE","","","","a77f665d-345c-49b0-9e9b-f9f78a1415cc"
"PROTEROZOIC","PALEOPROTEROZOIC","","","","","a4a66454-acdb-4493-b5db-765653e5b824"
"PHANEROZOIC","PALEOZOIC","","","","","0e098a6e-2123-4566-9069-6a3401775ca3"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","PENNSYLVANIAN","","","b99b0ad0-93d2-4acf-912c-13d5a1ba12a6"
"PHANEROZOIC","PALEOZOIC","PERMIAN","","","","50437b21-5bf8-4e7e-abe0-007b56c09cca"
